asset_id,content_state,extraction_state,table_files,table_rows,paragraph_count,narrative_output,failure_reason
WEB-0444,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0444/content.json,
WEB-0445,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0445/content.json,
WEB-0446,MIXED_CONTENT,EXTRACTED,1,14,3,02_提取正文/WEB-0446/content.json,
WEB-0447,MIXED_CONTENT,EXTRACTED,1,14,3,02_提取正文/WEB-0447/content.json,
WEB-0448,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0448/content.json,
WEB-0449,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0449/content.json,
WEB-0450,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0450/content.json,
WEB-0451,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0451/content.json,
WEB-0452,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0452/content.json,
WEB-0453,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0453/content.json,
WEB-0454,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0454/content.json,
WEB-0455,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0455/content.json,
WEB-0456,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0456/content.json,
WEB-0457,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0457/content.json,
WEB-0460,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0469,MIXED_CONTENT,EXTRACTED,1,1,1,02_提取正文/WEB-0469/content.json,
WEB-0471,MIXED_CONTENT,EXTRACTED,6,136,7,02_提取正文/WEB-0471/content.json,
WEB-0472,MIXED_CONTENT,EXTRACTED,3,68,7,02_提取正文/WEB-0472/content.json,
WEB-0492,NARRATIVE_CONTENT,EXTRACTED,0,0,78,02_提取正文/WEB-0492/content.json,
WEB-0493,NARRATIVE_CONTENT,EXTRACTED,0,0,71,02_提取正文/WEB-0493/content.json,
WEB-0494,NARRATIVE_CONTENT,EXTRACTED,0,0,11,02_提取正文/WEB-0494/content.json,
WEB-0495,NARRATIVE_CONTENT,EXTRACTED,0,0,8,02_提取正文/WEB-0495/content.json,
WEB-0496,NARRATIVE_CONTENT,EXTRACTED,0,0,18,02_提取正文/WEB-0496/content.json,
WEB-0497,MIXED_CONTENT,EXTRACTED,5,148,8,02_提取正文/WEB-0497/content.json,
WEB-0498,MIXED_CONTENT,EXTRACTED,1,4,3,02_提取正文/WEB-0498/content.json,
WEB-0500,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0501,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0502,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
