parent_asset_id,resource_id,source_file,source_extension,source_size_bytes,source_sha256,object_type,object_name,row_count,column_count,output_path,extraction_state,failure_reason
WEB-0048,WEB-0048-R01-E011,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, current US$, millions, not seas. adj..xlsx",.xlsx,612197,68cfd0a75f8b79178eaba3b91c699fb3f41e8b2a0671773c813ea9356efefd73,xlsx_sheet,monthly,362,140,03_提取表格/WEB-0048/WEB-0048-R01-E011/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E011,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, current US$, millions, not seas. adj..xlsx",.xlsx,612197,68cfd0a75f8b79178eaba3b91c699fb3f41e8b2a0671773c813ea9356efefd73,xlsx_sheet,quarterly,122,140,03_提取表格/WEB-0048/WEB-0048-R01-E011/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E012,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, current US$, millions, seas. adj..xlsx",.xlsx,655614,aad6574f532ecf041ee08a326a7c47b2709c70fe64521bd155bb595eeb19a8b9,xlsx_sheet,annual,32,139,03_提取表格/WEB-0048/WEB-0048-R01-E012/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E012,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, current US$, millions, seas. adj..xlsx",.xlsx,655614,aad6574f532ecf041ee08a326a7c47b2709c70fe64521bd155bb595eeb19a8b9,xlsx_sheet,monthly,362,139,03_提取表格/WEB-0048/WEB-0048-R01-E012/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E012,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, current US$, millions, seas. adj..xlsx",.xlsx,655614,aad6574f532ecf041ee08a326a7c47b2709c70fe64521bd155bb595eeb19a8b9,xlsx_sheet,quarterly,122,139,03_提取表格/WEB-0048/WEB-0048-R01-E012/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E013,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, Price, US$, not seas. adj..xlsx",.xlsx,205648,e07706cca6e59cd5ac8fa8814c3a059ee56179b382b4942757a598d8e1b95677,xlsx_sheet,annual,32,40,03_提取表格/WEB-0048/WEB-0048-R01-E013/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E013,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, Price, US$, not seas. adj..xlsx",.xlsx,205648,e07706cca6e59cd5ac8fa8814c3a059ee56179b382b4942757a598d8e1b95677,xlsx_sheet,monthly,362,52,03_提取表格/WEB-0048/WEB-0048-R01-E013/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E013,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, Price, US$, not seas. adj..xlsx",.xlsx,205648,e07706cca6e59cd5ac8fa8814c3a059ee56179b382b4942757a598d8e1b95677,xlsx_sheet,quarterly,122,41,03_提取表格/WEB-0048/WEB-0048-R01-E013/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E014,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, Price, US$, seas. adj..xlsx",.xlsx,218763,3c654355464fd17d94c15b76d543cbe3d674318de092fb922e637aeec8ea0621,xlsx_sheet,annual,32,52,03_提取表格/WEB-0048/WEB-0048-R01-E014/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E014,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, Price, US$, seas. adj..xlsx",.xlsx,218763,3c654355464fd17d94c15b76d543cbe3d674318de092fb922e637aeec8ea0621,xlsx_sheet,monthly,362,52,03_提取表格/WEB-0048/WEB-0048-R01-E014/monthly.csv,EXTRACTED,
